"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	Suppressed	920175	Suppressed	Suppressed
	"Baldwin County, AL"	"01003"	188	3104213	6.1	6.4
	"Barbour County, AL"	"01005"	Suppressed	499605	Suppressed	Suppressed
	"Bibb County, AL"	"01007"	12	397480	Unreliable	Unreliable
	"Blount County, AL"	"01009"	47	997776	4.7	5.0
	"Bullock County, AL"	"01011"	Suppressed	197584	Suppressed	Suppressed
	"Butler County, AL"	"01013"	Suppressed	373621	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	12	2074478	Unreliable	Unreliable
	"Chambers County, AL"	"01017"	Suppressed	628932	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	14	455087	Unreliable	Unreliable
	"Chilton County, AL"	"01021"	16	762939	Unreliable	Unreliable
	"Choctaw County, AL"	"01023"	Suppressed	258321	Suppressed	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	472909	Suppressed	Suppressed
	"Clay County, AL"	"01027"	Suppressed	251003	Suppressed	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	263729	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	14	857552	Unreliable	Unreliable
	"Colbert County, AL"	"01033"	Suppressed	980863	Suppressed	Suppressed
	"Conecuh County, AL"	"01035"	11	240060	Unreliable	Unreliable
	"Coosa County, AL"	"01037"	Suppressed	204784	Suppressed	Suppressed
	"Covington County, AL"	"01039"	Suppressed	675450	Suppressed	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	249207	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	25	1431088	1.7	1.8
	"Dale County, AL"	"01045"	14	891572	Unreliable	Unreliable
	"Dallas County, AL"	"01047"	Suppressed	790398	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	29	1237877	2.3	2.4
	"Elmore County, AL"	"01051"	13	1354531	Unreliable	Unreliable
	"Escambia County, AL"	"01053"	71	683449	10.4	10.2
	"Etowah County, AL"	"01055"	32	1864778	1.7	1.9
