"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	"1999"	"1999"	361	42963	840.3	1064.7
	"Autauga County, AL"	"01001"	"2000"	"2000"	356	43671	815.2	1021.8
	"Autauga County, AL"	"01001"	"2001"	"2001"	362	44889	806.4	1008.8
	"Autauga County, AL"	"01001"	"2002"	"2002"	388	45909	845.2	1037.6
	"Autauga County, AL"	"01001"	"2003"	"2003"	400	46800	854.7	1038.4
	"Autauga County, AL"	"01001"	"2004"	"2004"	377	48366	779.5	934.5
	"Autauga County, AL"	"01001"	"2005"	"2005"	454	49676	913.9	1123.4
	"Autauga County, AL"	"01001"	"2006"	"2006"	457	51328	890.4	1073.1
	"Autauga County, AL"	"01001"	"2007"	"2007"	406	52405	774.7	906.7
	"Autauga County, AL"	"01001"	"2008"	"2008"	457	53277	857.8	975.4
	"Autauga County, AL"	"01001"	"2009"	"2009"	412	54135	761.1	854.7
	"Baldwin County, AL"	"01003"	"1999"	"1999"	1290	137555	937.8	848.7
	"Baldwin County, AL"	"01003"	"2000"	"2000"	1322	140415	941.5	844.4
	"Baldwin County, AL"	"01003"	"2001"	"2001"	1432	144875	988.4	875.8
	"Baldwin County, AL"	"01003"	"2002"	"2002"	1451	147957	980.7	867.2
	"Baldwin County, AL"	"01003"	"2003"	"2003"	1505	151509	993.3	859.3
	"Baldwin County, AL"	"01003"	"2004"	"2004"	1549	156266	991.3	851.7
	"Baldwin County, AL"	"01003"	"2005"	"2005"	1576	162183	971.7	842.2
	"Baldwin County, AL"	"01003"	"2006"	"2006"	1650	168121	981.4	851.1
	"Baldwin County, AL"	"01003"	"2007"	"2007"	1682	172404	975.6	836.6
	"Baldwin County, AL"	"01003"	"2008"	"2008"	1685	175827	958.3	812.7
	"Baldwin County, AL"	"01003"	"2009"	"2009"	1708	179406	952.0	802.3
	"Barbour County, AL"	"01005"	"1999"	"1999"	290	28866	1004.6	964.9
	"Barbour County, AL"	"01005"	"2000"	"2000"	303	29038	1043.5	999.5
	"Barbour County, AL"	"01005"	"2001"	"2001"	333	28863	1153.7	1104.9
	"Barbour County, AL"	"01005"	"2002"	"2002"	322	28653	1123.8	1089.1
	"Barbour County, AL"	"01005"	"2003"	"2003"	290	28594	1014.2	995.4
	"Barbour County, AL"	"01005"	"2004"	"2004"	278	28287	982.8	960.6
	"Barbour County, AL"	"01005"	"2005"	"2005"	326	28027	1163.2	1122.1
	"Barbour County, AL"	"01005"	"2006"	"2006"	288	27861	1033.7	986.9
	"Barbour County, AL"	"01005"	"2007"	"2007"	248	27757	893.5	832.9
	"Barbour County, AL"	"01005"	"2008"	"2008"	236	27808	848.7	773.3
	"Barbour County, AL"	"01005"	"2009"	"2009"	302	27657	1091.9	988.4
	"Bibb County, AL"	"01007"	"1999"	"1999"	219	20560	1065.2	1111.3
	"Bibb County, AL"	"01007"	"2000"	"2000"	191	20826	917.1	947.8
	"Bibb County, AL"	"01007"	"2001"	"2001"	212	21028	1008.2	976.3
	"Bibb County, AL"	"01007"	"2002"	"2002"	217	21199	1023.6	1018.6
	"Bibb County, AL"	"01007"	"2003"	"2003"	228	21399	1065.5	1115.1
	"Bibb County, AL"	"01007"	"2004"	"2004"	220	21721	1012.8	1082.5
	"Bibb County, AL"	"01007"	"2005"	"2005"	234	22042	1061.6	1129.0
	"Bibb County, AL"	"01007"	"2006"	"2006"	227	22099	1027.2	1063.0
	"Bibb County, AL"	"01007"	"2007"	"2007"	203	22438	904.7	955.9
	"Bibb County, AL"	"01007"	"2008"	"2008"	246	22705	1083.5	1116.0
	"Bibb County, AL"	"01007"	"2009"	"2009"	214	22941	932.8	964.4
	"Blount County, AL"	"01009"	"1999"	"1999"	451	50237	897.7	925.0
	"Blount County, AL"	"01009"	"2000"	"2000"	450	51024	881.9	891.3
	"Blount County, AL"	"01009"	"2001"	"2001"	465	51845	896.9	900.4
	"Blount County, AL"	"01009"	"2002"	"2002"	530	52551	1008.5	1021.3
	"Blount County, AL"	"01009"	"2003"	"2003"	557	53457	1042.0	1066.1
	"Blount County, AL"	"01009"	"2004"	"2004"	529	54124	977.4	966.8
	"Blount County, AL"	"01009"	"2005"	"2005"	531	54624	972.1	951.7
	"Blount County, AL"	"01009"	"2006"	"2006"	530	55485	955.2	933.9
	"Blount County, AL"	"01009"	"2007"	"2007"	542	56240	963.7	943.1
	"Blount County, AL"	"01009"	"2008"	"2008"	566	57055	992.0	950.8
	"Blount County, AL"	"01009"	"2009"	"2009"	552	57341	962.7	904.3
	"Bullock County, AL"	"01011"	"1999"	"1999"	143	11755	1216.5	1113.1
	"Bullock County, AL"	"01011"	"2000"	"2000"	146	11714	1246.4	1133.7
	"Bullock County, AL"	"01011"	"2001"	"2001"	144	11358	1267.8	1139.2
	"Bullock County, AL"	"01011"	"2002"	"2002"	137	11256	1217.1	1052.5
	"Bullock County, AL"	"01011"	"2003"	"2003"	121	11316	1069.3	933.4
	"Bullock County, AL"	"01011"	"2004"	"2004"	135	11056	1221.1	1086.8
	"Bullock County, AL"	"01011"	"2005"	"2005"	140	11011	1271.5	1125.3
	"Bullock County, AL"	"01011"	"2006"	"2006"	145	10776	1345.6	1216.1
	"Bullock County, AL"	"01011"	"2007"	"2007"	130	11011	1180.6	1058.5
	"Bullock County, AL"	"01011"	"2008"	"2008"	110	10953	1004.3	863.8
	"Bullock County, AL"	"01011"	"2009"	"2009"	114	10987	1037.6	887.1
	"Butler County, AL"	"01013"	"1999"	"1999"	305	21605	1411.7	1128.0
	"Butler County, AL"	"01013"	"2000"	"2000"	263	21399	1229.0	995.1
	"Butler County, AL"	"01013"	"2001"	"2001"	297	21139	1405.0	1095.9
	"Butler County, AL"	"01013"	"2002"	"2002"	295	20803	1418.1	1121.3
	"Butler County, AL"	"01013"	"2003"	"2003"	308	20833	1478.4	1157.4
	"Butler County, AL"	"01013"	"2004"	"2004"	287	20870	1375.2	1082.9
	"Butler County, AL"	"01013"	"2005"	"2005"	293	20830	1406.6	1120.1
	"Butler County, AL"	"01013"	"2006"	"2006"	272	20815	1306.7	1032.5
	"Butler County, AL"	"01013"	"2007"	"2007"	248	20894	1186.9	923.5
	"Butler County, AL"	"01013"	"2008"	"2008"	277	20949	1322.3	1047.2
	"Butler County, AL"	"01013"	"2009"	"2009"	244	20867	1169.3	914.7
	"Calhoun County, AL"	"01015"	"1999"	"1999"	1234	114910	1073.9	1053.1
	"Calhoun County, AL"	"01015"	"2000"	"2000"	1365	112249	1216.0	1159.6
	"Calhoun County, AL"	"01015"	"2001"	"2001"	1386	111266	1245.7	1194.8
	"Calhoun County, AL"	"01015"	"2002"	"2002"	1234	111625	1105.5	1063.6
	"Calhoun County, AL"	"01015"	"2003"	"2003"	1295	112705	1149.0	1089.1
	"Calhoun County, AL"	"01015"	"2004"	"2004"	1284	113462	1131.7	1081.6
	"Calhoun County, AL"	"01015"	"2005"	"2005"	1381	114477	1206.4	1129.1
	"Calhoun County, AL"	"01015"	"2006"	"2006"	1326	115388	1149.2	1086.8
	"Calhoun County, AL"	"01015"	"2007"	"2007"	1316	116211	1132.4	1052.3
	"Calhoun County, AL"	"01015"	"2008"	"2008"	1317	117274	1123.0	1039.2
	"Calhoun County, AL"	"01015"	"2009"	"2009"	1342	118363	1133.8	1051.8
	"Chambers County, AL"	"01017"	"1999"	"1999"	491	36527	1344.2	1096.0
	"Chambers County, AL"	"01017"	"2000"	"2000"	506	36583	1383.2	1116.0
	"Chambers County, AL"	"01017"	"2001"	"2001"	476	36274	1312.2	1057.2
	"Chambers County, AL"	"01017"	"2002"	"2002"	480	35965	1334.6	1078.4
	"Chambers County, AL"	"01017"	"2003"	"2003"	471	35680	1320.1	1062.5
	"Chambers County, AL"	"01017"	"2004"	"2004"	441	35463	1243.5	1016.3
	"Chambers County, AL"	"01017"	"2005"	"2005"	494	35279	1400.3	1121.2
	"Chambers County, AL"	"01017"	"2006"	"2006"	443	34945	1267.7	1012.0
	"Chambers County, AL"	"01017"	"2007"	"2007"	471	34847	1351.6	1078.9
	"Chambers County, AL"	"01017"	"2008"	"2008"	442	34563	1278.8	1009.8
	"Chambers County, AL"	"01017"	"2009"	"2009"	453	34384	1317.5	1024.1
	"Cherokee County, AL"	"01019"	"1999"	"1999"	287	23605	1215.8	1070.9
	"Cherokee County, AL"	"01019"	"2000"	"2000"	266	23988	1108.9	961.4
	"Cherokee County, AL"	"01019"	"2001"	"2001"	243	24182	1004.9	870.5
	"Cherokee County, AL"	"01019"	"2002"	"2002"	284	24403	1163.8	1017.3
	"Cherokee County, AL"	"01019"	"2003"	"2003"	306	24591	1244.4	1074.8
	"Cherokee County, AL"	"01019"	"2004"	"2004"	265	24887	1064.8	942.8
	"Cherokee County, AL"	"01019"	"2005"	"2005"	286	25031	1142.6	970.2
	"Cherokee County, AL"	"01019"	"2006"	"2006"	277	25466	1087.7	897.8
	"Cherokee County, AL"	"01019"	"2007"	"2007"	290	25553	1134.9	962.0
	"Cherokee County, AL"	"01019"	"2008"	"2008"	324	25636	1263.8	1042.0
	"Cherokee County, AL"	"01019"	"2009"	"2009"	304	25854	1175.8	978.7
	"Chilton County, AL"	"01021"	"1999"	"1999"	411	38862	1057.6	1057.3
	"Chilton County, AL"	"01021"	"2000"	"2000"	412	39593	1040.6	1056.6
	"Chilton County, AL"	"01021"	"2001"	"2001"	383	40197	952.8	949.8
	"Chilton County, AL"	"01021"	"2002"	"2002"	413	40683	1015.2	1010.0
	"Chilton County, AL"	"01021"	"2003"	"2003"	446	41079	1085.7	1079.4
	"Chilton County, AL"	"01021"	"2004"	"2004"	485	41534	1167.7	1190.3
