"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"1999"	"1999"	361	42963	840.3
	"Autauga County, AL"	"01001"	"2000"	"2000"	356	43671	815.2
	"Autauga County, AL"	"01001"	"2001"	"2001"	362	44889	806.4
	"Autauga County, AL"	"01001"	"2002"	"2002"	388	45909	845.2
	"Autauga County, AL"	"01001"	"2003"	"2003"	400	46800	854.7
	"Autauga County, AL"	"01001"	"2004"	"2004"	374	48366	773.3
	"Autauga County, AL"	"01001"	"2005"	"2005"	454	49676	913.9
	"Autauga County, AL"	"01001"	"2006"	"2006"	456	51328	888.4
	"Autauga County, AL"	"01001"	"2007"	"2007"	403	52405	769.0
	"Autauga County, AL"	"01001"	"2008"	"2008"	457	53277	857.8
	"Autauga County, AL"	"01001"	"2009"	"2009"	411	54135	759.2
	"Autauga County, AL"	"01001"	"2010"	"2010"	433	54571	793.5
	"Autauga County, AL"	"01001"	"2011"	"2011"	455	55267	823.3
	"Autauga County, AL"	"01001"	"2012"	"2012"	514	55514	925.9
	"Autauga County, AL"	"01001"	"2013"	"2013"	533	55246	964.8
	"Autauga County, AL"	"01001"	"2014"	"2014"	482	55395	870.1
	"Autauga County, AL"	"01001"	"2015"	"2015"	523	55347	944.9
	"Autauga County, AL"	"01001"	"2016"	"2016"	519	55416	936.6
	"Baldwin County, AL"	"01003"	"1999"	"1999"	1290	137555	937.8
	"Baldwin County, AL"	"01003"	"2000"	"2000"	1321	140415	940.8
	"Baldwin County, AL"	"01003"	"2001"	"2001"	1430	144875	987.1
	"Baldwin County, AL"	"01003"	"2002"	"2002"	1444	147957	976.0
	"Baldwin County, AL"	"01003"	"2003"	"2003"	1504	151509	992.7
	"Baldwin County, AL"	"01003"	"2004"	"2004"	1547	156266	990.0
	"Baldwin County, AL"	"01003"	"2005"	"2005"	1573	162183	969.9
	"Baldwin County, AL"	"01003"	"2006"	"2006"	1643	168121	977.3
	"Baldwin County, AL"	"01003"	"2007"	"2007"	1676	172404	972.1
	"Baldwin County, AL"	"01003"	"2008"	"2008"	1678	175827	954.3
	"Baldwin County, AL"	"01003"	"2009"	"2009"	1699	179406	947.0
	"Baldwin County, AL"	"01003"	"2010"	"2010"	1792	182265	983.2
	"Baldwin County, AL"	"01003"	"2011"	"2011"	1842	186717	986.5
	"Baldwin County, AL"	"01003"	"2012"	"2012"	1793	190790	939.8
	"Baldwin County, AL"	"01003"	"2013"	"2013"	1964	195540	1004.4
	"Baldwin County, AL"	"01003"	"2014"	"2014"	1937	200111	968.0
	"Baldwin County, AL"	"01003"	"2015"	"2015"	2076	203709	1019.1
	"Baldwin County, AL"	"01003"	"2016"	"2016"	1959	208563	939.3
	"Barbour County, AL"	"01005"	"1999"	"1999"	289	28866	1001.2
	"Barbour County, AL"	"01005"	"2000"	"2000"	303	29038	1043.5
	"Barbour County, AL"	"01005"	"2001"	"2001"	333	28863	1153.7
	"Barbour County, AL"	"01005"	"2002"	"2002"	322	28653	1123.8
	"Barbour County, AL"	"01005"	"2003"	"2003"	290	28594	1014.2
	"Barbour County, AL"	"01005"	"2004"	"2004"	278	28287	982.8
	"Barbour County, AL"	"01005"	"2005"	"2005"	326	28027	1163.2
	"Barbour County, AL"	"01005"	"2006"	"2006"	288	27861	1033.7
	"Barbour County, AL"	"01005"	"2007"	"2007"	248	27757	893.5
	"Barbour County, AL"	"01005"	"2008"	"2008"	236	27808	848.7
	"Barbour County, AL"	"01005"	"2009"	"2009"	302	27657	1091.9
	"Barbour County, AL"	"01005"	"2010"	"2010"	282	27457	1027.1
	"Barbour County, AL"	"01005"	"2011"	"2011"	298	27119	1098.9
	"Barbour County, AL"	"01005"	"2012"	"2012"	272	27201	1000.0
	"Barbour County, AL"	"01005"	"2013"	"2013"	278	27076	1026.7
	"Barbour County, AL"	"01005"	"2014"	"2014"	298	26887	1108.3
	"Barbour County, AL"	"01005"	"2015"	"2015"	295	26489	1113.7
	"Barbour County, AL"	"01005"	"2016"	"2016"	256	25965	985.9
	"Bibb County, AL"	"01007"	"1999"	"1999"	219	20560	1065.2
	"Bibb County, AL"	"01007"	"2000"	"2000"	191	20826	917.1
	"Bibb County, AL"	"01007"	"2001"	"2001"	212	21028	1008.2
	"Bibb County, AL"	"01007"	"2002"	"2002"	217	21199	1023.6
	"Bibb County, AL"	"01007"	"2003"	"2003"	228	21399	1065.5
	"Bibb County, AL"	"01007"	"2004"	"2004"	220	21721	1012.8
	"Bibb County, AL"	"01007"	"2005"	"2005"	234	22042	1061.6
	"Bibb County, AL"	"01007"	"2006"	"2006"	224	22099	1013.6
	"Bibb County, AL"	"01007"	"2007"	"2007"	201	22438	895.8
	"Bibb County, AL"	"01007"	"2008"	"2008"	244	22705	1074.7
	"Bibb County, AL"	"01007"	"2009"	"2009"	211	22941	919.8
	"Bibb County, AL"	"01007"	"2010"	"2010"	225	22915	981.9
	"Bibb County, AL"	"01007"	"2011"	"2011"	247	22766	1085.0
	"Bibb County, AL"	"01007"	"2012"	"2012"	250	22597	1106.3
	"Bibb County, AL"	"01007"	"2013"	"2013"	242	22512	1075.0
	"Bibb County, AL"	"01007"	"2014"	"2014"	237	22506	1053.1
	"Bibb County, AL"	"01007"	"2015"	"2015"	238	22583	1053.9
	"Bibb County, AL"	"01007"	"2016"	"2016"	237	22643	1046.7
	"Blount County, AL"	"01009"	"1999"	"1999"	451	50237	897.7
	"Blount County, AL"	"01009"	"2000"	"2000"	450	51024	881.9
	"Blount County, AL"	"01009"	"2001"	"2001"	464	51845	895.0
	"Blount County, AL"	"01009"	"2002"	"2002"	530	52551	1008.5
	"Blount County, AL"	"01009"	"2003"	"2003"	557	53457	1042.0
	"Blount County, AL"	"01009"	"2004"	"2004"	529	54124	977.4
	"Blount County, AL"	"01009"	"2005"	"2005"	531	54624	972.1
	"Blount County, AL"	"01009"	"2006"	"2006"	530	55485	955.2
	"Blount County, AL"	"01009"	"2007"	"2007"	542	56240	963.7
	"Blount County, AL"	"01009"	"2008"	"2008"	566	57055	992.0
	"Blount County, AL"	"01009"	"2009"	"2009"	552	57341	962.7
	"Blount County, AL"	"01009"	"2010"	"2010"	538	57322	938.6
	"Blount County, AL"	"01009"	"2011"	"2011"	596	57677	1033.3
	"Blount County, AL"	"01009"	"2012"	"2012"	575	57826	994.4
	"Blount County, AL"	"01009"	"2013"	"2013"	555	57872	959.0
	"Blount County, AL"	"01009"	"2014"	"2014"	620	57719	1074.2
	"Blount County, AL"	"01009"	"2015"	"2015"	607	57673	1052.5
	"Blount County, AL"	"01009"	"2016"	"2016"	692	57704	1199.2
	"Bullock County, AL"	"01011"	"1999"	"1999"	143	11755	1216.5
	"Bullock County, AL"	"01011"	"2000"	"2000"	146	11714	1246.4
	"Bullock County, AL"	"01011"	"2001"	"2001"	144	11358	1267.8
	"Bullock County, AL"	"01011"	"2002"	"2002"	137	11256	1217.1
	"Bullock County, AL"	"01011"	"2003"	"2003"	121	11316	1069.3
	"Bullock County, AL"	"01011"	"2004"	"2004"	135	11056	1221.1
	"Bullock County, AL"	"01011"	"2005"	"2005"	139	11011	1262.4
	"Bullock County, AL"	"01011"	"2006"	"2006"	145	10776	1345.6
	"Bullock County, AL"	"01011"	"2007"	"2007"	130	11011	1180.6
	"Bullock County, AL"	"01011"	"2008"	"2008"	110	10953	1004.3
	"Bullock County, AL"	"01011"	"2009"	"2009"	114	10987	1037.6
	"Bullock County, AL"	"01011"	"2010"	"2010"	132	10914	1209.5
	"Bullock County, AL"	"01011"	"2011"	"2011"	115	10542	1090.9
	"Bullock County, AL"	"01011"	"2012"	"2012"	101	10474	964.3
	"Bullock County, AL"	"01011"	"2013"	"2013"	120	10639	1127.9
	"Bullock County, AL"	"01011"	"2014"	"2014"	119	10764	1105.5
	"Bullock County, AL"	"01011"	"2015"	"2015"	119	10696	1112.6
	"Bullock County, AL"	"01011"	"2016"	"2016"	132	10362	1273.9
	"Butler County, AL"	"01013"	"1999"	"1999"	304	21605	1407.1
	"Butler County, AL"	"01013"	"2000"	"2000"	263	21399	1229.0
	"Butler County, AL"	"01013"	"2001"	"2001"	297	21139	1405.0
	"Butler County, AL"	"01013"	"2002"	"2002"	295	20803	1418.1
	"Butler County, AL"	"01013"	"2003"	"2003"	308	20833	1478.4
	"Butler County, AL"	"01013"	"2004"	"2004"	287	20870	1375.2
	"Butler County, AL"	"01013"	"2005"	"2005"	293	20830	1406.6
